발전소명,발전원,연료,형식,발전회사,소재지,용량_MW,준공,상태,대수,단위용량,보일러제작사,터빈제작사,발전기제작사,정격전압,용도별,회원,시장,급전
동탄열병합 #1 ST,집단에너지,LNG,열병합,지역난방공사,경기 화성시 동탄기흥로,131,2017.11,운영중,1,131 MW,GE PSK,두산중공업,두산중공업,17kV,집단,정회원,시장,중앙
동탄열병합 #2 ST,집단에너지,LNG,열병합,지역난방공사,경기 화성시 동탄기흥로,131,2017.12,운영중,1,131 MW,GE PSK,두산중공업,두산중공업,17kV,집단,정회원,시장,중앙
안동 ST,복합화력,LNG,복합,남부발전㈜,경북 안동시 풍산읍,127,2014.3,운영중,1,127 MW,Siemens,Siemens,Siemens,23kV,사업용,정회원,시장,중앙
서울복합#1 ST,복합화력,LNG,복합,중부발전㈜,서울 마포구 토정로,127,2019.11,운영중,1,127 MW,두산중공업,두산중공업,두산중공업,16.5kV,사업용,정회원,시장,중앙
인천공항,집단에너지,LNG,열병합,인천공항에너지㈜,인천 중구 운서동,127,2001.3,운영중,3,40 MW,-,WH(GT),BRUSH,-,집단,정회원,시장,중앙
서울복합#2 ST,복합화력,LNG,복합,중부발전㈜,서울 마포구 토정로,127,2019..6,운영중,1,127 MW,두산중공업,두산중공업,두산중공업,16.5kV,사업용,정회원,시장,중앙
김포열병합ST,집단에너지,LNG,열병합,서부발전㈜,경기 김포시 양촌읍,120,2023.07,운영중,1,120 MW,두산에너빌리티,두산에너빌리티,두산에너빌리티,22kV,집단,정회원,시장,중앙
분당#2 ST,복합화력,LNG,복합,남동발전㈜,경기 성남시 분당동,115,1997.3,운영중,1,115 MW,ABB-한중,ABB,ABB,13.8kV,사업용,정회원,시장,중앙
별내열병합,집단에너지,LNG,열병합,별내에너지,경기 남양주시 별내동,115,2013.7,운영중,3,37 MW,-,Siemens,ABB,13.8kV,집단,정회원,시장,중앙
수완에너지,집단에너지,LNG,열병합,수완에너지㈜,광주 광산구 수완동,115,"2010.4, 2013.3",운영중,3,18 MW,-,Siemens,ABB,13.8kV,집단,정회원,시장,중앙
"제주GT#1,2",내연력,경유,내연,한국전력,제주 제주시 삼양동,110,1977.12,운영중,2,55 MW,-,UTI,BRUSH,-,사업용,비회원,시장외,비중앙
화천,수력,수력,수력,한수원,강원 화천군 간동면(한강수계 북한강 파로호),108,"1944.10, 1957.11, 1968.6",운영중,4,27 MW,-,Hitachi,Hitachi,11kV,사업용,정회원,시장,중앙
아산배방열병합,집단에너지,LNG,열병합,토지주택공사,충남 아산시 배방읍,101,"2011.1, 2014.10",운영중,3,15 MW,한국BNTC,Siemens,ABB,13.8kV,집단,정회원,시장,중앙
울산#1 ST,복합화력,LNG,복합,동서발전㈜,울산 남구 남화동,100,"1979.1, 1987",운영중,1,50 MW,삼성중공업,Toshiba,Toshiba,21kV,사업용,정회원,시장,중앙
일산#2 ST,복합화력,LNG,복합,동서발전㈜,경기 고양시 백석동,100,1996.3,운영중,1,100 MW,MHI,WH,MHI,13.8kV,사업용,정회원,시장,중앙
남제주#2,기력,바이오중유,신재생,남부발전㈜,제주 서귀포시 안덕면,100,2007.3,운영중,1,100 MW,두산중공업,Mitsubish,Mitsubish,13.8kV,사업용,정회원,시장,중앙
남제주#1,기력,바이오중유,신재생,남부발전㈜,제주 서귀포시 안덕면,100,2006.9,운영중,1,100 MW,두산중공업,Mitsubish,Mitsubish,13.8kV,사업용,정회원,시장,중앙
합천,수력,수력,수력,수자원공사,경남 합천군 용주면(낙동강수계 황강 합천호),100,1989.3,운영중,2,50 MW,-,Fuji,Fuji,13.2kV,사업용,정회원,시장,중앙
남제주복합 GT,복합화력,LNG,복합,남부발전㈜,제주 서귀포시 안덕면,97,2020.11,운영중,2,48 MW,-,-,-,-,사업용,정회원,시장,중앙
구미열병합,집단에너지,유연탄,열병합,㈜GS E&R,경북 구미시 공단 2동,97,1991.11,운영중,1,97 MW,삼성중공업,ABB,ABB,-,집단,정회원,시장,비중앙
대산 ST,복합화력,LNG,복합,씨지앤대산전력㈜,충남 서산시 대산읍,91,1998.3,운영중,1,91 MW,현대중공업,현대중공업(ST),현대중공업,13kV,사업용,정회원,시장,중앙
대청,수력,수력,수력,수자원공사,충북 청원군 문의면(금강본류 대청호),90,1980.11,운영중,2,45 MW,-,Toshiba,Toshiba,13.2kV,사업용,정회원,시장,중앙
안동,수력,수력,수력,수자원공사,경북 안동시 성곡동(낙동강본류 안동호),90,1976.10,운영중,2,45 MW,-,Deriaz,Fuji,11kV,사업용,정회원,시장,중앙
대전열병합,집단에너지,중유,열병합,대전열병합발전㈜,대전 대덕구 신일동,88,1997.7,운영중,1,88 MW,현대중공업,ABB,ABB,13.8kV,집단,정회원,시장,중앙
강릉,수력,수력,수력,한수원,강원 강릉시 성산면(남한강지류 송천 도암호),82,"1990.12, 1991.1",운영중,2,41 MW,-,Fuji,한중,-,사업용,정회원,시장,중앙
양산열병합GT,집단에너지,LNG,열병합,지역난방공사,경남 양산시 동면,78,2023.08,운영중,1,78 MW,BHI,GE,GE,18kV,집단,정회원,시장,중앙
반원열병합,집단에너지,유연탄,열병합,㈜GS E&R,경기 안산시 초지동,76,1990.8,운영중,1,76 MW,한중,ABB,ABB,13.8kV,집단,정회원,시장,비중앙
제주#3,기력,바이오중유,신재생,중부발전㈜,제주 제주시 삼양동,75,2000.12,운영중,1,75 MW,한중,Fuji,Fuji,13.8kV,사업용,정회원,시장,중앙
제주#2,기력,바이오중유,신재생,중부발전㈜,제주 제주시 삼양동,75,2000.3,운영중,1,75 MW,한중,Fuji,Fuji,13.8kV,사업용,정회원,시장,중앙
대구염색,집단에너지,유연탄,열병합,대구염색산업단지관리공단,대구 서구 평리동,72,2004.2,운영중,1,72 MW,FCB,Siemens,Siemens,13.8kV,집단,정회원,시장,비중앙
제주복합#1 GT,복합화력,유류,복합,중부발전㈜,제주 제주시 원당로,71,2018..6,운영중,1,71 MW,GE,GE,GE,13.8kV,사업용,정회원,시장,중앙
한림 GT,복합화력,LNG,복합,남부발전㈜,제주 제주시 한림읍,70,"1995.6, 1996.6",운영중,2,35 MW,-,한중/GE,한중/GE,13.8kV,사업용,정회원,시장,중앙
춘천,수력,수력,수력,한수원,강원 춘천시 신북읍(한강수계 북한강 춘천호),62,"1965.1, 1965.2",운영중,2,31 MW,-,Toshiba,Toshiba,11kV,사업용,정회원,시장,중앙
안산열병합,집단에너지,LNG,열병합,안산도시개발,경기 안산시 초지동,60,2001.7,운영중,1,60 MW,대우,MHI,Alstom,13.8kV,집단,정회원,시장,중앙
SGC에너지#3,집단에너지,기타,열병합,에쓰지씨에너지㈜,전북 군산시 소룡동,60,2014.1,운영중,1,60 MW,현대중공업,Siemens,BRUSH,13.8kV,집단,정회원,시장,비중앙
김천열병합,집단에너지,유연탄,열병합,김천에너지서비스㈜,경북 김천시 응명동,59,2013.4,운영중,1,59 MW,-,-,-,-,집단,정회원,시장,비중앙
제주복합#2 GT,복합화력,LNG,복합,중부발전㈜,제주 제주시 원당로,58,2018..8,운영중,1,58 MW,GE,GE,GE,13.8kV,사업용,정회원,시장,중앙
청주열병합,집단에너지,중유,열병합,지역난방공사,충북 청주시 흥덕구 죽림동,58,2000.10,운영중,1,58 MW,현대중공업,MHI,Melco,13.8kV,집단,정회원,시장,중앙
제주GT#3,내연력,경유,내연,중부발전㈜,제주 제주시 삼양동,55,1977.12,운영중,1,55 MW,-,UTI,BRUSH,-,사업용,정회원,시장,중앙
SGC에너지#1,집단에너지,역청탄,열병합,에쓰지씨에너지㈜,전북 군산시 소룡동,54,2008.1,운영중,1,54 MW,현대중공업,Siemens,Siemens,-,집단,정회원,시장,비중앙
임하,수력,수력,수력,수자원공사,경북 안동시 임하면(낙동가지류 반변천 임하호),50,1992.7,운영중,2,25 MW,-,Voest Alpine,Elin Union,11kV,사업용,정회원,시장,중앙
남제주복합 ST,복합화력,LNG,복합,남부발전㈜,제주 서귀포시 안덕면,49,2020.11,운영중,1,49 MW,-,-,-,-,사업용,정회원,시장,중앙
대전서남부,집단에너지,LNG,열병합,토지주택공사,대전 유성구 원신흥동,48,2011.1,운영중,1,48 MW,신텍,KAWASAKI,Meidensha,13.8kV,집단,정회원,시장,중앙
의암,수력,수력,수력,한수원,강원 춘천시 신동면(한강수계 북한강 의암호),48,1967.8,운영중,2,24 MW,-,Toshiba,Toshiba,11kV,사업용,정회원,시장,중앙
데이원열병합,집단에너지,유연탄,열병합,데이원에너지㈜,전남 여수시 중흥동,48,2013.3,운영중,1,48 MW,-,-,-,-,집단,정회원,시장,비중앙
수원열병합,집단에너지,중유,열병합,지역난방공사,경기 수원시 팔달구 영통동,43,1997.12,운영중,1,43 MW,삼강수기,MHI,삼성중공업,13.8kV,집단,정회원,시장,중앙
대구열병합,집단에너지,중유,열병합,지역난방공사,대구 달서구 대천동,43,1997.3,운영중,1,43 MW,대우중공업,KAWASAKI,GEC. Alsthom,13.8kV,집단,정회원,시장,중앙
제주복합#1 ST,복합화력,유류,복합,중부발전㈜,제주 제주시 원당로,42,2018..6,운영중,1,42 MW,GE,GE,GE,13.8kV,사업용,정회원,시장,중앙
양산열병합ST,집단에너지,LNG,열병합,지역난방공사,경남 양산시 동면,40,2023.08,운영중,1,40 MW,BHI,Siemens,Siemens,13.8,집단,정회원,시장,중앙
제주내연#1,내연력,중유,내연,중부발전㈜,제주 제주시 삼양동,40,2005.6,운영중,1,40 MW,-,두산엔진,Alstom,-,사업용,정회원,시장,중앙
제주내연#2,내연력,중유,내연,중부발전㈜,제주 제주시 삼양동,40,2009.6,운영중,1,40 MW,-,두산엔진,Alstom,-,사업용,정회원,시장,중앙
노원열병합,집단에너지,LNG,열병합,서울에너지공사,서울 노원구 상계동,37,1994.12,운영중,1,37 MW,두산중공업,Mitusui,Meidensha,13.8kV,집단,정회원,시장,중앙
한림 ST,복합화력,LNG,복합,남부발전㈜,제주 제주시 한림읍,35,1997.7,운영중,1,35 MW,한중,한중/GE,한중/GE,13.8kV,사업용,정회원,시장,중앙
칠보,수력,수력,수력,한수원,전북 정읍시 칠보면(섬진강수계 섬진강옥정호),35,"1945.4, 1965.12, 1985.3",운영중,3,11 MW,-,MHI,MHI,11kV,사업용,정회원,시장,중앙
제주복합#2 ST,복합화력,LNG,복합,중부발전㈜,제주 제주시 원당로,34,2018..8,운영중,1,34 MW,GE,GE,GE,13.8kV,사업용,정회원,시장,중앙
SGC에너지#2,집단에너지,역청탄,열병합,에쓰지씨에너지㈜,전북 군산시 소룡동,30,2009.11,운영중,1,30 MW,현대중공업,Siemens,Siemens,-,집단,정회원,시장,비중앙
SGC에너지#5,집단에너지,유연탄,열병합,에쓰지씨에너지㈜,전북 군산시 소룡동,28,2017.4,운영중,1,28 MW,-,Siemens,Siemens,13.8kV,집단,정회원,시장,비중앙
무림파워텍열병합,집단에너지,중유,열병합,무림파워텍㈜,경남 진주시 상대동,26,1999.4,운영중,1,26 MW,KAWASAKI 동양보일러,KAWASAKI,KAWASAKI,11kV,집단,정회원,시장,중앙
부산정관에너지 GT,복합화력,LNG,복합,부산정관에너지,부산 기장군 정관읍,26,2017.7,운영중,1,26 MW,-,-,-,22kV,사업용,정회원,시장,중앙
논현열병합,집단에너지,LNG,열병합,㈜미래엔인천에너지,인천 남동구 고잔동,24,2007.10,운영중,1,24 MW,Yoshimine 동부중공업,Shinnippon,Shinnippon,13.8kV,집단,정회원,시장,중앙
주암,수력,수력,수력,수자원공사,전남 순천시 주암면(섬진강수계 보성강 주암호),23,"1991.4, 2007.5",운영중,3,6 MW,-,대우중공업,Toshiba,6.6kV,사업용,정회원,시장,중앙
용담1수력,수력,수력,수력,수자원공사,전북 진안군 용담면,22,2001.9,운영중,2,11 MW,-,Fuji,Fuji,13.8kV,사업용,정회원,시장,중앙
목동열병합,집단에너지,LNG,열병합,서울에너지공사,서울 양천구 목동,21,1987.12,운영중,1,21 MW,두산중공업,Siemens,Siemens,13.8kV,집단,정회원,시장,중앙
전북집단에너지,집단에너지,유연탄,열병합,전북집단에너지㈜,전북 익산시 신흥동,19,1992.4,운영중,1,19 MW,KAWASAKI,KAWASAKI,KAWASAKI,-,집단,정회원,시장,비중앙
부산정관에너지 ST,복합화력,LNG,복합,부산정관에너지,부산 기장군 정관읍,19,2017.7,운영중,1,19 MW,-,-,-,22kV,사업용,정회원,시장,중앙
부산염색,집단에너지,유연탄,열병합,부산패션칼라산업협동조합,부산 사하구 신평동,19,1993.2,운영중,1,19 MW,대우중공업,AE&E,Jeumento-Schneider,-,집단,정회원,시장,비중앙
남강,수력,소수력,소수력,수자원공사,경남 진주시 판문동(낙동강수계 남강 진양호),18,1998.10,운영중,1,18 MW,-,Alsthom,Alsthom,-,사업용,정회원,시장,비중앙
울릉도,내연력,경유,내연,한국전력,경북 울릉군 울릉읍 서면,18,1986.6 외 4건,운영중,9,2 MW,-,Niigata,효성중공업,-,사업용,비회원,시장외,비중앙
백령도,내연력,경유,내연,한국전력,인천시 옹진군 백령면,15,1999.12 외 3건,운영중,8,1 MW,-,쌍용중공업(Man B&W),보국전기,-,사업용,비회원,시장외,비중앙
남강#2,수력,소수력,소수력,수자원공사,경남 진주시 내동면,9,2019.11,운영중,1,9 MW,-,Andritz,Andritz,-,신재생,정회원,시장,비중앙
상공에너지열병합,집단에너지,유연탄,열병합,㈜상공에너지,전북 익산시 용제동,9,2012.3,운영중,1,9 MW,-,-,-,-,집단,정회원,시장,비중앙
연평도,내연력,경유,내연,한국전력,인천 옹진군 연평면 연평리,7,"2005.7, 2011.7",운영중,5,1 MW,-,STX(Man B&W),보국전기,-,사업용,비회원,시장외,비중앙
신정열병합,집단에너지,LNG,열병합,서울에너지공사,서울 양천구 신월동,6,2011.8,운영중,1,6 MW,-,캐터필러,-,6.6kV,집단,정회원,시장,비중앙
삼천포 해양,수력,소수력,소수력,남동발전,경남 고성군 하이면,6,2007.2,운영중,6,1 MW,-,독일 Ossberger,독일 Flender-Loher,-,신재생,정회원,시장,비중앙
용담,수력,소수력,소수력,수자원공사,전북 진안군 용담면,6,"2001.9, 2004.12, 2020.4",운영중,3,2 MW,-,Fuji,Fuji,-,신재생,정회원,시장,비중앙
함안보,수력,소수력,소수력,수자원공사,경남 함안군 칠북면,5,2012.3,운영중,1,5 MW,-,Andritz,Andritz,-,신재생,정회원,시장,비중앙
영주댐,수력,소수력,소수력,수자원공사,경북 영주시 평은면,5,2016.8,운영중,1,5 MW,-,대양수력,대양수력,-,신재생,정회원,시장,비중앙
보령화력#1,수력,소수력,소수력,중부발전,충남 보령시 오천면,5,2009.7,운영중,1,5 MW,-,대양전기,대양전기,-,신재생,정회원,시장,비중앙
신보령,수력,소수력,소수력,중부발전,충남 보령시 주교면,5,2016.10,운영중,1,5 MW,-,대양수력,대양수력,-,신재생,정회원,시장,비중앙
북평해양수력,수력,소수력,소수력,㈜GS동해전력,강원 동해시 공단4로,5,2016.1,운영중,1,5 MW,-,진런(중국),효성,-,신재생,정회원,시장,비중앙
합천·창녕보,수력,소수력,소수력,수자원공사,경남 합천군 청덕면,5,2012.6,운영중,1,5 MW,-,Mavel,현대중공업,-,신재생,정회원,시장,비중앙
추자도,내연력,경유,내연,한국전력,제주 제주시 추자면,5,1995.12 외 4건,운영중,7,0 MW,-,현대중공업(Man B&W),현대중전기,-,사업용,비회원,시장외,비중앙
영흥해양#3,수력,소수력,소수력,남동발전,인천 옹진군 영흥면,5,2014.5,운영중,1,5 MW,-,Hydro-energy,효성중공업,-,신재생,정회원,시장,비중앙
흑산도,내연력,경유,내연,한국전력,전남 신안군 흑산면,4,"1994.8, 1996.8, 2008.3",운영중,5,0 MW,-,현대중공업(Man B&W),현대중전기,-,사업용,비회원,시장외,비중앙
보성강,수력,소수력,소수력,한수원,전남 보성군 득량면(섬진강수계 보성강 보성저수지),4,1990.5,운영중,1,4 MW,-,Fuji,한중,-,신재생,정회원,시장,비중앙
영흥해양#2,수력,소수력,소수력,남동발전,인천 웅진군 영흥면,4,2011.9,운영중,1,4 MW,-,하이드로에너지,현대중공업,-,신재생,정회원,시장,비중앙
거문도,내연력,경유,내연,한국전력,전남 여수시 삼산면 덕촌리,4,"1989.4, 1997.7, 2005.8",운영중,5,0 MW,-,Man B&W,현대중전기,-,사업용,비회원,시장외,비중앙
강천보,수력,소수력,소수력,수자원공사,경기 여주군 여주읍,4,2011.12,운영중,1,4 MW,-,Gugler,효성중공업,-,신재생,정회원,시장,비중앙
당진화력#1,수력,소수력,소수력,동서발전,충남 당진시 석문면,4,2010.5,운영중,1,4 MW,-,대양전기,대양전기,-,신재생,정회원,시장,비중앙
여주보,수력,소수력,소수력,수자원공사,경기 여주시 능서면,4,2012.3,운영중,1,4 MW,-,Andritz,Andritz,-,신재생,정회원,시장,비중앙
이포보,수력,소수력,소수력,수자원공사,경기 여주군 금사면,3,2011.12,운영중,1,3 MW,-,Mavel,현대중공업,-,신재생,정회원,시장,비중앙
대청도,내연력,경유,내연,한국전력,인천 옹진군 대청면 대청리,3,"1995.2, 2006.8, 2011.3",운영중,4,0 MW,-,쌍용중공업,현대중전기,-,사업용,비회원,시장외,비중앙
공주보,수력,소수력,소수력,수자원공사,충남 공주시 우성면,3,2011.12,운영중,1,3 MW,-,Gugler,현대중공업,-,신재생,정회원,시장,비중앙
소향,수력,소수력,소수력,농어촌공사,전주 완주군 고산면,3,2018.12,운영중,1,3 MW,-,-,-,-,신재생,정회원,시장,비중앙
강정고령보,수력,소수력,소수력,수자원공사,대구 달성군 다사읍,3,2011.12,운영중,1,3 MW,-,Mavel,효성중공업,-,신재생,정회원,시장,비중앙
대아,수력,소수력,소수력,농어촌공사,전북 순천시 주안면,3,"1993.6, 1994.5",운영중,1,1 MW,-,대양전기,대양전기,-,신재생,정회원,시장,비중앙
영흥해양#1,수력,소수력,소수력,남동발전,인천 옹진군 영흥면,3,2008.3,운영중,1,3 MW,-,캐슬러,TES(체코),-,신재생,정회원,시장,비중앙
구미보,수력,소수력,소수력,수자원공사,경북 구미시 해평면,3,2011.12,운영중,1,3 MW,-,Gugler,효성중공업,-,신재생,정회원,시장,비중앙
당진화력2소수력,수력,소수력,소수력,동서발전,충남 당진시 석문면,3,2014.8,운영중,1,3 MW,-,harbin electricity machinery,harbin electricity machinery,-,신재생,정회원,시장,비중앙
칠곡보,수력,소수력,소수력,수자원공사,경북 칠곡군 석적읍,3,2012.6,운영중,1,3 MW,-,Andritz,Andritz,-,신재생,정회원,시장,비중앙
상주보,수력,소수력,소수력,수자원공사,경북 상주시 중동면,3,2012.6,운영중,1,3 MW,-,Andritz,Andritz,-,신재생,정회원,시장,비중앙
조도,내연력,경유,내연,한국전력,전남 진도군 조도면,3,"1996.10, 2008.5, 2016.2",운영중,5,0 MW,-,쌍용중공업(Man B&W),효성중공업,-,사업용,비회원,시장외,비중앙
낙단보,수력,소수력,소수력,수자원공사,경북 의성군 단밀면,3,2012.6,운영중,1,3 MW,-,Mavel,효성중공업,-,신재생,정회원,시장,비중앙
세종보,수력,소수력,소수력,수자원공사,세종 연기면,2,2011.8,운영중,1,2 MW,-,Gugler,현대중공업,-,신재생,정회원,시장,비중앙
경천#2,수력,소수력,소수력,경천,경북 문경시 동로면,2,2010.10,운영중,1,2 MW,-,-,-,-,신재생,정회원,시장,비중앙
봉화,수력,소수력,소수력,㈜크린에너지,충북 봉화군 명호면,2,"1988.9, 2011.1",운영중,1,1 MW,-,Obermeyer,현대중전기,-,신재생,정회원,시장,비중앙
괴산,수력,소수력,소수력,한수원,충북 괴산군 칠성면(남한강수계 남한강 칠성호),2,1957.2,운영중,1,2 MW,-,James Leffel,GE,-,신재생,정회원,시장,비중앙
달성보,수력,소수력,소수력,수자원공사,경북 고령군 개진면,2,2012.6,운영중,1,2 MW,-,Andritz,Andritz,-,신재생,정회원,시장,비중앙
소천,수력,소수력,소수력,㈜한여울,경북 봉화군 소천면,2,1987.7,운영중,1,2 MW,-,FLYGT,FLYGT,-,신재생,정회원,시장,비중앙
소청도,내연력,경유,내연,한국전력,인천 옹진군 대청면 소청리,2,1995.1,운영중,3,0 MW,-,쌍용중공업,현대중전기,-,사업용,비회원,시장외,비중앙
단양수중보,수력,소수력,소수력,수자원공사,충북 단양군 단성면,2,2019.6,운영중,1,2 MW,-,대양수력,대양수력,-,신재생,정회원,시장,비중앙
삼한에너지,수력,소수력,소수력,애플에너지,강원 정선군 정선읍,2,2014.9,운영중,1,2 MW,-,-,-,-,신재생,정회원,시장,비중앙
삼척그린파워 해양소수력,수력,소수력,소수력,남부발전,강원 삼척시 원덕읍,2,2017.8,운영중,1,2 MW,-,대양수력,CG Electric Systems Hungary Zrt,-,신재생,정회원,시장,비중앙
백제보,수력,소수력,소수력,수자원공사,충남 부여군 부여읍,2,2011.12,운영중,1,2 MW,-,Gugler,현대중공업,-,신재생,정회원,시장,비중앙
보령화력#2,수력,소수력,소수력,중부발전,충남 보령군 오천면 오포,2,2008.6,운영중,1,2 MW,-,대양전기,대양전기,-,신재생,정회원,시장,비중앙
덕적도,내연력,경유,내연,한국전력,인천 옹진군 덕적면,2,1989.8 외 3건,운영중,7,0 MW,-,Niigata,효성중공업,-,사업용,비회원,시장외,비중앙
태안소수력,수력,소수력,소수력,서부발전,충남 태안군 원북면,2,2008.6,운영중,1,2 MW,수차:대양전기,수문:두산중공업,두산중공업,-,신재생,정회원,시장,비중앙
방우리,수력,소수력,소수력,㈜청풍에너지,충남 금산군 부리면,2,1987.3,운영중,1,2 MW,-,FLYGT,FLYGT,-,신재생,정회원,시장,비중앙
한석,수력,소수력,소수력,㈜한석에너지,충북 단양군 영춘면,2,1989.4,운영중,1,2 MW,-,Omy사,현대중공업,-,신재생,정회원,시장,비중앙
홍도,내연력,경유,내연,한국전력,전남 신안군 흑산면 홍도리,2,"1993.3, 2004.11, 2010.5",운영중,4,0 MW,-,쌍용중공업,현대중전기,-,사업용,비회원,시장외,비중앙
위도,내연력,경유,내연,한국전력,전북 부안군 위도면 진리,2,"1993.2, 2002.8, 2003.6",운영중,5,0 MW,-,Sulzzer,현대중전기,-,사업용,비회원,시장외,비중앙
성주,수력,소수력,소수력,㈜성주발전,경북 성주군 가천면,1,1999.9,운영중,1,1 MW,-,대양전기,대양전기,-,신재생,정회원,시장,비중앙
장성,수력,소수력,소수력,농어촌공사,전남 장성군 장성읍,1,2013.7,운영중,1,1 MW,-,금전기업,일진전기,-,신재생,정회원,시장,비중앙
